Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
;;;;100R;01:14.78
;;;;100B;01:19.82
;;;;100K;01:18.18
;;;;100Lg;01:10.01
;;;;200S;02:45.48
;;;;200R;02:29.50
;;;;200B;02:48.98
;;;;200K;02:18.82
;;;;200Lg;02:22.89
;;;;400K;05:25.89
;;;;400Lg;05:58.90
;;;;800K;12:20.95
;;;;1500K;25:43.90
Schwimmer24;Max24;m;;50S;00:36.23
;;;;50R;00:28.80
;;;;50B;00:37.13
;;;;50K;00:37.06
;;;;100S;01:14.15
;;;;100R;01:13.25
;;;;100B;01:10.92
;;;;100K;01:13.42
;;;;100Lg;01:03.52
;;;;200S;02:38.20
;;;;200R;02:23.95
;;;;200B;02:13.27
;;;;200K;02:22.84
;;;;200Lg;02:24.60
;;;;400K;05:40.23
;;;;400Lg;05:58.98
;;;;800K;11:44.81
;;;;1500K;21:25.70
Schwimmer25;Max25;m;;50S;00:33.51
;;;;50R;00:29.58
;;;;50B;00:35.34
;;;;50K;00:36.98
;;;;100S;01:19.19
;;;;100R;01:19.58
;;;;100B;01:16.45
;;;;100K;01:18.09
;;;;100Lg;01:01.84
;;;;200S;02:39.92
;;;;200R;02:29.36
;;;;200B;02:54.15
;;;;200K;02:47.71
;;;;200Lg;02:25.44
;;;;400K;05:57.62
;;;;400Lg;04:46.02
;;;;800K;10:35.72
;;;;1500K;24:56.71
Schwimmer26;Max26;m;;50S;00:34.36
;;;;50R;00:34.03
;;;;50B;00:28.81
;;;;50K;00:35.12
;;;;100S;01:14.65
;;;;100R;01:04.87
;;;;100B;01:20.70
;;;;100K;01:07.40
;;;;100Lg;01:08.24
;;;;200S;02:36.63
;;;;200R;02:29.88
;;;;200B;02:39.74
;;;;200K;02:33.01
;;;;200Lg;02:53.49
;;;;400K;06:10.93
;;;;400Lg;04:54.66
;;;;800K;11:40.22
;;;;1500K;22:40.60
Schwimmer27;Max27;m;;50S;00:35.95
;;;;50R;00:30.39
;;;;50B;00:30.26
;;;;50K;00:29.55
;;;;100S;01:15.37
;;;;100R;01:03.86
;;;;100B;01:04.40
;;;;100K;01:10.69
;;;;100Lg;01:06.65
;;;;200S;02:44.64
;;;;200R;02:25.81
;;;;200B;02:45.96
;;;;200K;02:43.11
;;;;200Lg;02:53.15
;;;;400K;05:19.14
;;;;400Lg;05:35.63
;;;;800K;11:47.13
;;;;1500K;20:40.16
Schwimmer28;Max28;m;;50S;00:31.80
;;;;50R;00:36.29
;;;;50B;00:29.89
;;;;50K;00:28.92
;;;;100S;01:20.17
;;;;100R;01:08.09
;;;;100B;01:17.38
;;;;100K;01:02.06
;;;;100Lg;01:10.37
;;;;200S;02:25.68
;;;;200R;02:53.69
;;;;200B;02:35.98
;;;;200K;02:39.19
;;;;200Lg;02:46.33
;;;;400K;05:15.51
;;;;400Lg;05:24.72
;;;;800K;10:23.28
;;;;1500K;22:47.37
Schwimmer29;Max29;m;;50S;00:29.85
;;;;50R;00:34.58
;;;;50B;00:34.17
;;;;50K;00:31.91
;;;;100S;01:10.97
;;;;100R;01:04.42
;;;;100B;01:06.99
;;;;100K;01:10.15
;;;;100Lg;01:11.05
;;;;200S;02:18.10
;;;;200R;02:15.48
;;;;200B;02:19.81
;;;;200K;02:52.04
;;;;200Lg;02:43.23
;;;;400K;06:10.69
;;;;400Lg;05:16.10
;;;;800K;11:17.97
;;;;1500K;25:33.31
Schwimmer30;Max30;m;;50S;00:28.62
;;;;50R;00:35.52
;;;;50B;00:35.04
;;;;50K;00:28.61
;;;;100S;01:11.07
;;;;100R;01:06.83
;;;;100B;01:03.27
;;;;100K;01:10.26
;;;;100Lg;01:13.22
;;;;200S;02:51.59
;;;;200R;02:17.23
;;;;200B;02:33.81
;;;;200K;02:31.80
;;;;200Lg;02:36.42
;;;;400K;05:51.56
;;;;400Lg;05:13.59
;;;;800K;13:00.68
;;;;1500K;24:57.47
