Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
;;;;100R;01:14.78
;;;;100B;01:19.82
;;;;100K;01:18.18
;;;;100Lg;01:10.01
;;;;200S;02:45.48
;;;;200R;02:29.50
;;;;200B;02:48.98
;;;;200K;02:18.82
;;;;200Lg;02:22.89
;;;;400K;05:25.89
;;;;400Lg;05:58.90
;;;;800K;12:20.95
;;;;1500K;25:43.90
Schwimmer24;Max24;m;;50S;00:36.23
;;;;50R;00:28.80
;;;;50B;00:37.13
;;;;50K;00:37.06
;;;;100S;01:14.15
;;;;100R;01:13.25
;;;;100B;01:10.92
;;;;100K;01:13.42
;;;;100Lg;01:03.52
;;;;200S;02:38.20
;;;;200R;02:23.95
;;;;200B;02:13.27
;;;;200K;02:22.84
;;;;200Lg;02:24.60
;;;;400K;05:40.23
;;;;400Lg;05:58.98
;;;;800K;11:44.81
;;;;1500K;21:25.70
Schwimmer25;Max25;m;;50S;00:33.51
;;;;50R;00:29.58
;;;;50B;00:35.34
;;;;50K;00:36.98
;;;;100S;01:19.19
;;;;100R;01:19.58
;;;;100B;01:16.45
;;;;100K;01:18.09
;;;;100Lg;01:01.84
;;;;200S;02:39.92
;;;;200R;02:29.36
;;;;200B;02:54.15
;;;;200K;02:47.71
;;;;200Lg;02:25.44
;;;;400K;05:57.62
;;;;400Lg;04:46.02
;;;;800K;10:35.72
;;;;1500K;24:56.71
Schwimmer26;Max26;m;;50S;00:34.36
;;;;50R;00:34.03
;;;;50B;00:28.81
;;;;50K;00:35.12
;;;;100S;01:14.65
;;;;100R;01:04.87
;;;;100B;01:20.70
;;;;100K;01:07.40
;;;;100Lg;01:08.24
;;;;200S;02:36.63
;;;;200R;02:29.88
;;;;200B;02:39.74
;;;;200K;02:33.01
;;;;200Lg;02:53.49
;;;;400K;06:10.93
;;;;400Lg;04:54.66
;;;;800K;11:40.22
;;;;1500K;22:40.60
Schwimmer27;Max27;m;;50S;00:35.95
;;;;50R;00:30.39
;;;;50B;00:30.26
;;;;50K;00:29.55
;;;;100S;01:15.37
;;;;100R;01:03.86
;;;;100B;01:04.40
;;;;100K;01:10.69
;;;;100Lg;01:06.65
;;;;200S;02:44.64
;;;;200R;02:25.81
;;;;200B;02:45.96
;;;;200K;02:43.11
;;;;200Lg;02:53.15
;;;;400K;05:19.14
;;;;400Lg;05:35.63
;;;;800K;11:47.13
;;;;1500K;20:40.16
Schwimmer28;Max28;m;;50S;00:31.80
;;;;50R;00:36.29
;;;;50B;00:29.89
;;;;50K;00:28.92
;;;;100S;01:20.17
;;;;100R;01:08.09
;;;;100B;01:17.38
;;;;100K;01:02.06
;;;;100Lg;01:10.37
;;;;200S;02:25.68
;;;;200R;02:53.69
;;;;200B;02:35.98
;;;;200K;02:39.19
;;;;200Lg;02:46.33
;;;;400K;05:15.51
;;;;400Lg;05:24.72
;;;;800K;10:23.28
;;;;1500K;22:47.37
Schwimmer29;Max29;m;;50S;00:29.85
;;;;50R;00:34.58
;;;;50B;00:34.17
;;;;50K;00:31.91
;;;;100S;01:10.97
;;;;100R;01:04.42
;;;;100B;01:06.99
;;;;100K;01:10.15
;;;;100Lg;01:11.05
;;;;200S;02:18.10
;;;;200R;02:15.48
;;;;200B;02:19.81
;;;;200K;02:52.04
;;;;200Lg;02:43.23
;;;;400K;06:10.69
;;;;400Lg;05:16.10
;;;;800K;11:17.97
;;;;1500K;25:33.31
Schwimmer30;Max30;m;;50S;00:28.62
;;;;50R;00:35.52
;;;;50B;00:35.04
;;;;50K;00:28.61
;;;;100S;01:11.07
;;;;100R;01:06.83
;;;;100B;01:03.27
;;;;100K;01:10.26
;;;;100Lg;01:13.22
;;;;200S;02:51.59
;;;;200R;02:17.23
;;;;200B;02:33.81
;;;;200K;02:31.80
;;;;200Lg;02:36.42
;;;;400K;05:51.56
;;;;400Lg;05:13.59
;;;;800K;13:00.68
;;;;1500K;24:57.47
Schwimmer31;Max31;m;;50S;00:29.38
;;;;50R;00:30.95
;;;;50B;00:31.00
;;;;50K;00:33.15
;;;;100S;01:18.09
;;;;100R;01:11.85
;;;;100B;01:18.07
;;;;100K;01:20.92
;;;;100Lg;01:15.38
;;;;200S;02:47.16
;;;;200R;02:33.58
;;;;200B;02:26.28
;;;;200K;02:43.70
;;;;200Lg;02:45.78
;;;;400K;05:21.26
;;;;400Lg;05:02.81
;;;;800K;13:12.66
;;;;1500K;22:51.47
Schwimmer32;Max32;m;;50S;00:33.10
;;;;50R;00:37.19
;;;;50B;00:30.01
;;;;50K;00:32.30
;;;;100S;01:12.20
;;;;100R;01:10.44
;;;;100B;01:14.76
;;;;100K;01:04.27
;;;;100Lg;01:19.15
;;;;200S;02:13.64
;;;;200R;02:52.47
;;;;200B;02:32.33
;;;;200K;02:35.74
;;;;200Lg;02:25.36
;;;;400K;06:08.85
;;;;400Lg;05:03.85
;;;;800K;12:16.51
;;;;1500K;21:37.39
Schwimmer33;Max33;m;;50S;00:35.94
;;;;50R;00:36.17
;;;;50B;00:34.44
;;;;50K;00:35.52
;;;;100S;01:09.86
;;;;100R;01:02.34
;;;;100B;01:17.70
;;;;100K;01:19.71
;;;;100Lg;01:07.25
;;;;200S;02:25.92
;;;;200R;02:15.42
;;;;200B;02:25.37
;;;;200K;02:35.47
;;;;200Lg;02:29.47
;;;;400K;05:32.52
;;;;400Lg;05:57.52
;;;;800K;11:47.17
;;;;1500K;23:31.74
Schwimmer34;Max34;m;;50S;00:35.19
;;;;50R;00:37.31
;;;;50B;00:34.58
;;;;50K;00:34.92
;;;;100S;01:05.97
;;;;100R;01:09.79
;;;;100B;01:05.88
;;;;100K;01:17.70
;;;;100Lg;01:14.81
;;;;200S;02:46.33
;;;;200R;02:24.75
;;;;200B;02:35.79
;;;;200K;02:19.58
;;;;200Lg;02:21.73
;;;;400K;06:09.92
;;;;400Lg;05:52.62
;;;;800K;12:20.78
;;;;1500K;21:17.63
Schwimmer35;Max35;m;;50S;00:37.26
;;;;50R;00:32.04
;;;;50B;00:29.14
;;;;50K;00:33.50
;;;;100S;01:12.95
;;;;100R;01:18.53
;;;;100B;01:09.42
;;;;100K;01:18.69
;;;;100Lg;01:08.07
;;;;200S;02:21.75
;;;;200R;02:51.00
;;;;200B;02:36.64
;;;;200K;02:53.55
;;;;200Lg;02:53.68
;;;;400K;05:00.84
;;;;400Lg;05:51.50
;;;;800K;12:40.23
;;;;1500K;24:37.24
Schwimmer36;Max36;m;;50S;00:36.38
;;;;50R;00:28.58
;;;;50B;00:33.15
;;;;50K;00:35.99
;;;;100S;01:05.98
;;;;100R;01:14.22
;;;;100B;01:13.99
;;;;100K;01:04.57
;;;;100Lg;01:09.28
;;;;200S;02:27.72
;;;;200R;02:36.04
;;;;200B;02:17.95
;;;;200K;02:19.33
;;;;200Lg;02:32.80
;;;;400K;05:49.19
;;;;400Lg;05:07.50
;;;;800K;12:50.16
;;;;1500K;21:09.92
Schwimmer37;Max37;m;;50S;00:36.68
;;;;50R;00:30.89
;;;;50B;00:34.27
;;;;50K;00:29.30
;;;;100S;01:05.31
;;;;100R;01:07.58
;;;;100B;01:10.40
;;;;100K;01:02.76
;;;;100Lg;01:19.98
;;;;200S;02:23.09
;;;;200R;02:36.16
;;;;200B;02:35.21
;;;;200K;02:46.98
;;;;200Lg;02:24.71
;;;;400K;05:45.99
;;;;400Lg;05:05.03
;;;;800K;12:48.64
;;;;1500K;25:42.29
Schwimmer38;Max38;m;;50S;00:32.66
;;;;50R;00:35.40
;;;;50B;00:31.57
;;;;50K;00:30.20
;;;;100S;01:03.21
;;;;100R;01:20.94
;;;;100B;01:21.10
;;;;100K;01:19.25
;;;;100Lg;01:17.31
;;;;200S;02:48.74
;;;;200R;02:19.57
;;;;200B;02:16.97
;;;;200K;02:43.21
;;;;200Lg;02:51.91
;;;;400K;06:09.10
;;;;400Lg;04:48.88
;;;;800K;12:08.95
;;;;1500K;21:16.47
Schwimmer39;Max39;m;;50S;00:35.29
;;;;50R;00:31.23
;;;;50B;00:33.52
;;;;50K;00:37.03
;;;;100S;01:15.68
;;;;100R;01:07.75
;;;;100B;01:16.17
;;;;100K;01:04.38
;;;;100Lg;01:18.84
;;;;200S;02:35.87
;;;;200R;02:31.27
;;;;200B;02:28.29
;;;;200K;02:39.47
;;;;200Lg;02:23.73
;;;;400K;05:10.42
;;;;400Lg;05:54.91
;;;;800K;11:35.70
;;;;1500K;24:13.57
Schwimmer40;Max40;m;;50S;00:29.66
;;;;50R;00:33.34
;;;;50B;00:36.54
;;;;50K;00:28.69
;;;;100S;01:02.74
;;;;100R;01:08.62
;;;;100B;01:05.36
;;;;100K;01:05.06
;;;;100Lg;01:04.23
;;;;200S;02:47.34
;;;;200R;02:50.79
;;;;200B;02:23.84
;;;;200K;02:47.99
;;;;200Lg;02:44.74
;;;;400K;05:21.57
;;;;400Lg;05:45.36
;;;;800K;12:29.06
;;;;1500K;23:00.52
Schwimmer41;Max41;m;;50S;00:35.96
;;;;50R;00:32.67
;;;;50B;00:33.23
;;;;50K;00:30.47
;;;;100S;01:18.03
;;;;100R;01:06.80
;;;;100B;01:07.36
;;;;100K;01:05.87
;;;;100Lg;01:12.56
;;;;200S;02:50.93
;;;;200R;02:41.32
;;;;200B;02:39.72
;;;;200K;02:53.98
;;;;200Lg;02:35.15
;;;;400K;05:22.41
;;;;400Lg;05:56.90
;;;;800K;12:42.81
;;;;1500K;22:13.71
Schwimmer42;Max42;m;;50S;00:36.62
;;;;50R;00:29.01
;;;;50B;00:34.60
;;;;50K;00:36.28
;;;;100S;01:11.21
;;;;100R;01:02.45
;;;;100B;01:21.06
;;;;100K;01:13.69
;;;;100Lg;01:16.44
;;;;200S;02:49.89
;;;;200R;02:44.82
;;;;200B;02:47.66
;;;;200K;02:54.34
;;;;200Lg;02:36.29
;;;;400K;06:01.51
;;;;400Lg;05:53.57
;;;;800K;11:03.36
;;;;1500K;20:50.86
Schwimmer43;Max43;m;;50S;00:36.04
;;;;50R;00:31.26
;;;;50B;00:33.88
;;;;50K;00:28.85
;;;;100S;01:17.00
;;;;100R;01:07.16
;;;;100B;01:05.11
;;;;100K;01:16.81
;;;;100Lg;01:20.33
;;;;200S;02:25.83
;;;;200R;02:44.90
;;;;200B;02:52.12
;;;;200K;02:49.24
;;;;200Lg;02:39.06
;;;;400K;05:27.38
;;;;400Lg;05:44.74
;;;;800K;12:18.94
;;;;1500K;23:22.96
Schwimmer44;Max44;m;;50S;00:33.33
;;;;50R;00:37.02
;;;;50B;00:34.74
;;;;50K;00:32.75
;;;;100S;01:15.85
;;;;100R;01:02.98
;;;;100B;01:17.43
;;;;100K;01:05.59
;;;;100Lg;01:05.44
;;;;200S;02:46.11
;;;;200R;02:42.32
;;;;200B;02:17.32
;;;;200K;02:18.39
;;;;200Lg;02:16.54
;;;;400K;05:31.51
;;;;400Lg;04:46.27
;;;;800K;13:10.25
;;;;1500K;22:55.37
Schwimmer45;Max45;m;;50S;00:30.97
;;;;50R;00:36.46
;;;;50B;00:35.93
;;;;50K;00:30.99
;;;;100S;01:17.09
;;;;100R;01:12.38
;;;;100B;01:12.53
;;;;100K;01:20.16
;;;;100Lg;01:20.31
;;;;200S;02:28.20
;;;;200R;02:36.30
;;;;200B;02:32.73
;;;;200K;02:18.35
;;;;200Lg;02:29.34
;;;;400K;05:33.34
;;;;400Lg;04:46.59
;;;;800K;13:05.55
;;;;1500K;23:00.61
Schwimmer46;Max46;m;;50S;00:36.36
;;;;50R;00:36.97
;;;;50B;00:29.34
;;;;50K;00:37.25
;;;;100S;01:18.09
;;;;100R;01:13.74
;;;;100B;01:07.60
;;;;100K;01:11.59
;;;;100Lg;01:12.51
;;;;200S;02:30.79
;;;;200R;02:25.89
;;;;200B;02:14.75
;;;;200K;02:30.96
;;;;200Lg;02:49.57
;;;;400K;06:04.79
;;;;400Lg;05:02.09
;;;;800K;11:47.47
;;;;1500K;22:30.12
Schwimmer47;Max47;m;;50S;00:30.73
;;;;50R;00:33.33
;;;;50B;00:30.55
;;;;50K;00:36.26
;;;;100S;01:09.66
;;;;100R;01:07.13
;;;;100B;01:11.35
;;;;100K;01:16.76
;;;;100Lg;01:12.05
;;;;200S;02:47.86
;;;;200R;02:28.80
;;;;200B;02:18.87
;;;;200K;02:26.97
;;;;200Lg;02:50.80
;;;;400K;05:25.52
;;;;400Lg;06:01.96
;;;;800K;10:56.77
;;;;1500K;20:46.07
Schwimmer48;Max48;m;;50S;00:36.15
;;;;50R;00:35.87
;;;;50B;00:37.24
;;;;50K;00:32.08
;;;;100S;01:20.54
;;;;100R;01:04.50
;;;;100B;01:10.22
;;;;100K;01:02.68
;;;;100Lg;01:06.88
;;;;200S;02:50.59
;;;;200R;02:42.31
;;;;200B;02:21.34
;;;;200K;02:14.44
;;;;200Lg;02:41.41
;;;;400K;06:10.27
;;;;400Lg;05:44.29
;;;;800K;13:26.08
;;;;1500K;26:57.04
Schwimmer49;Max49;m;;50S;00:36.82
;;;;50R;00:33.70
;;;;50B;00:29.64
;;;;50K;00:36.78
;;;;100S;01:09.34
;;;;100R;01:15.59
;;;;100B;01:15.95
;;;;100K;01:10.32
;;;;100Lg;01:20.80
;;;;200S;02:46.24
;;;;200R;02:43.74
;;;;200B;02:16.32
;;;;200K;02:18.32
;;;;200Lg;02:39.50
;;;;400K;05:53.10
;;;;400Lg;05:52.23
;;;;800K;13:09.31
;;;;1500K;22:01.27
Schwimmer50;Max50;m;;50S;00:33.38
;;;;50R;00:36.17
;;;;50B;00:36.75
;;;;50K;00:29.75
;;;;100S;01:06.25
;;;;100R;01:12.47
;;;;100B;01:18.55
;;;;100K;01:07.98
;;;;100Lg;01:02.91
;;;;200S;02:39.42
;;;;200R;02:36.83
;;;;200B;02:26.33
;;;;200K;02:52.11
;;;;200Lg;02:16.48
;;;;400K;05:57.64
;;;;400Lg;05:19.16
;;;;800K;13:27.42
;;;;1500K;26:49.60
Schwimmer51;Max51;m;;50S;00:31.49
;;;;50R;00:33.70
;;;;50B;00:36.90
;;;;50K;00:31.67
;;;;100S;01:06.61
;;;;100R;01:08.92
;;;;100B;01:13.78
;;;;100K;01:20.03
;;;;100Lg;01:19.65
;;;;200S;02:51.19
;;;;200R;02:38.29
;;;;200B;02:34.83
;;;;200K;02:19.72
;;;;200Lg;02:16.68
;;;;400K;05:54.77
;;;;400Lg;05:26.25
;;;;800K;10:51.52
;;;;1500K;26:56.79
Schwimmer52;Max52;m;;50S;00:31.85
;;;;50R;00:33.45
;;;;50B;00:37.43
;;;;50K;00:30.98
;;;;100S;01:17.39
;;;;100R;01:02.83
;;;;100B;01:16.14
;;;;100K;01:10.47
;;;;100Lg;01:18.14
;;;;200S;02:37.13
;;;;200R;02:14.74
;;;;200B;02:53.47
;;;;200K;02:52.48
;;;;200Lg;02:54.99
;;;;400K;06:13.26
;;;;400Lg;05:40.85
;;;;800K;13:01.62
;;;;1500K;23:11.84
Schwimmer53;Max53;m;;50S;00:33.13
;;;;50R;00:29.41
;;;;50B;00:29.81
;;;;50K;00:29.55
;;;;100S;01:10.33
;;;;100R;01:20.21
;;;;100B;01:14.12
;;;;100K;01:16.01
;;;;100Lg;01:08.17
;;;;200S;02:33.09
;;;;200R;02:54.02
;;;;200B;02:48.77
;;;;200K;02:29.75
;;;;200Lg;02:23.09
;;;;400K;05:17.73
;;;;400Lg;05:58.10
;;;;800K;11:38.75
;;;;1500K;23:49.98
Schwimmer54;Max54;m;;50S;00:35.82
;;;;50R;00:32.59
;;;;50B;00:29.01
;;;;50K;00:28.81
;;;;100S;01:06.45
;;;;100R;01:03.34
;;;;100B;01:08.27
;;;;100K;01:16.20
;;;;100Lg;01:03.64
;;;;200S;02:22.70
;;;;200R;02:43.18
;;;;200B;02:51.38
;;;;200K;02:27.14
;;;;200Lg;02:24.13
;;;;400K;05:22.73
;;;;400Lg;04:59.20
;;;;800K;13:23.55
;;;;1500K;22:34.57
Schwimmer55;Max55;m;;50S;00:37.23
;;;;50R;00:36.68
;;;;50B;00:32.97
;;;;50K;00:36.76
;;;;100S;01:07.14
;;;;100R;01:04.26
;;;;100B;01:20.35
;;;;100K;01:09.88
;;;;100Lg;01:18.72
;;;;200S;02:15.87
;;;;200R;02:41.55
;;;;200B;02:53.83
;;;;200K;02:16.18
;;;;200Lg;02:15.59
;;;;400K;05:16.51
;;;;400Lg;06:07.81
;;;;800K;12:07.74
;;;;1500K;23:34.96
Schwimmer56;Max56;m;;50S;00:36.24
;;;;50R;00:32.98
;;;;50B;00:29.07
;;;;50K;00:35.44
;;;;100S;01:09.09
;;;;100R;01:03.11
