Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
;;;;100R;01:06.46
;;;;100B;01:46.78
;;;;100K;01:07.23
;;;;100Lg;01:34.45
;;;;200S;02:40.95
;;;;200R;02:35.29
;;;;200B;03:10.93
;;;;200K;02:25.39
;;;;200Lg;03:23.24
;;;;400K;04:20.04
;;;;400Lg;05:06.82
;;;;800K;10:14.60
;;;;1500K;24:27.04
Schwimmer25;Test25;m;36;50S;00:32.65
;;;;50R;00:32.25
;;;;50B;00:45.88
;;;;50K;00:30.85
;;;;100S;01:13.31
;;;;100R;01:30.80
;;;;100B;01:19.14
;;;;100K;01:22.34
;;;;100Lg;01:08.85
;;;;200S;03:02.06
;;;;200R;02:28.85
;;;;200B;03:16.87
;;;;200K;02:52.02
;;;;200Lg;02:56.18
;;;;400K;05:27.68
;;;;400Lg;06:30.65
;;;;800K;12:10.95
;;;;1500K;19:11.79
Schwimmer26;Test26;w;23;50S;00:28.63
;;;;50R;00:39.09
;;;;50B;00:33.80
;;;;50K;00:32.53
;;;;100S;01:05.19
;;;;100R;01:13.95
;;;;100B;01:28.98
;;;;100K;00:55.30
;;;;100Lg;01:18.65
;;;;200S;02:49.35
;;;;200R;02:51.59
;;;;200B;02:59.18
;;;;200K;02:10.66
;;;;200Lg;03:09.60
;;;;400K;05:52.80
;;;;400Lg;06:08.75
;;;;800K;10:13.50
;;;;1500K;23:20.21
Schwimmer27;Test27;m;49;50S;00:35.19
;;;;50R;00:44.65
;;;;50B;00:40.46
;;;;50K;00:37.15
;;;;100S;01:12.41
;;;;100R;01:26.13
;;;;100B;01:33.65
;;;;100K;01:14.44
;;;;100Lg;01:10.38
;;;;200S;02:21.89
;;;;200R;03:17.45
;;;;200B;02:40.86
;;;;200K;02:30.53
;;;;200Lg;03:07.69
;;;;400K;04:20.94
;;;;400Lg;06:06.19
;;;;800K;13:52.50
;;;;1500K;24:49.37
Schwimmer28;Test28;w;18;50S;00:32.01
;;;;50R;00:33.37
;;;;50B;00:35.68
;;;;50K;00:27.36
;;;;100S;01:01.89
;;;;100R;01:31.26
;;;;100B;01:24.47
;;;;100K;01:06.29
;;;;100Lg;01:05.10
;;;;200S;02:13.59
;;;;200R;03:26.01
;;;;200B;02:45.63
;;;;200K;02:44.69
;;;;200Lg;02:55.12
;;;;400K;05:39.89
;;;;400Lg;06:41.32
;;;;800K;10:50.94
;;;;1500K;23:46.71
Schwimmer29;Test29;w;84;50S;00:29.63
;;;;50R;00:37.40
;;;;50B;00:34.27
;;;;50K;00:35.64
;;;;100S;01:15.99
;;;;100R;01:18.01
;;;;100B;01:25.55
;;;;100K;01:07.03
;;;;100Lg;01:17.98
;;;;200S;03:08.11
;;;;200R;03:16.52
;;;;200B;02:56.97
;;;;200K;02:47.60
;;;;200Lg;03:02.27
;;;;400K;04:41.76
;;;;400Lg;06:05.63
;;;;800K;10:00.16
;;;;1500K;19:36.98
Schwimmer30;Test30;w;29;50S;00:34.95
;;;;50R;00:40.64
;;;;50B;00:34.98
;;;;50K;00:26.93
;;;;100S;01:00.55
;;;;100R;01:06.82
;;;;100B;01:15.79
;;;;100K;01:03.94
;;;;100Lg;01:09.65
;;;;200S;02:44.29
;;;;200R;02:31.49
;;;;200B;03:56.68
;;;;200K;02:52.24
;;;;200Lg;02:55.96
;;;;400K;04:36.79
;;;;400Lg;06:23.91
;;;;800K;10:56.54
;;;;1500K;18:25.05
Schwimmer31;Test31;m;42;50S;00:28.33
;;;;50R;00:30.46
;;;;50B;00:41.88
;;;;50K;00:27.18
;;;;100S;01:18.01
;;;;100R;01:36.73
;;;;100B;01:14.78
;;;;100K;01:21.50
;;;;100Lg;01:05.56
;;;;200S;02:23.39
;;;;200R;02:29.42
;;;;200B;03:12.20
;;;;200K;02:29.38
;;;;200Lg;03:25.93
;;;;400K;05:11.94
;;;;400Lg;06:55.04
;;;;800K;11:02.27
;;;;1500K;24:38.13
Schwimmer32;Test32;m;25;50S;00:32.21
;;;;50R;00:41.20
;;;;50B;00:46.90
;;;;50K;00:28.80
;;;;100S;01:10.99
;;;;100R;01:36.54
;;;;100B;01:31.25
;;;;100K;01:10.81
;;;;100Lg;01:05.95
;;;;200S;02:25.69
;;;;200R;02:31.33
;;;;200B;03:46.39
;;;;200K;02:43.52
;;;;200Lg;02:57.49
;;;;400K;05:58.33
;;;;400Lg;05:39.92
;;;;800K;10:25.42
;;;;1500K;19:10.58
Schwimmer33;Test33;m;76;50S;00:36.30
;;;;50R;00:40.26
;;;;50B;00:43.86
;;;;50K;00:37.63
;;;;100S;01:11.56
;;;;100R;01:29.10
;;;;100B;01:31.62
;;;;100K;01:00.96
;;;;100Lg;01:34.51
;;;;200S;02:13.56
;;;;200R;02:40.21
;;;;200B;03:16.05
;;;;200K;02:46.29
;;;;200Lg;03:39.12
;;;;400K;05:32.91
;;;;400Lg;06:36.67
;;;;800K;13:28.42
;;;;1500K;24:16.17
Schwimmer34;Test34;m;40;50S;00:34.23
;;;;50R;00:37.27
;;;;50B;00:44.73
;;;;50K;00:35.17
;;;;100S;01:21.95
;;;;100R;01:29.96
;;;;100B;01:42.82
;;;;100K;00:56.94
;;;;100Lg;01:21.40
;;;;200S;02:37.28
;;;;200R;03:01.10
;;;;200B;03:09.06
;;;;200K;02:18.37
;;;;200Lg;02:33.31
;;;;400K;05:57.53
;;;;400Lg;05:56.18
;;;;800K;12:46.63
;;;;1500K;20:16.83
Schwimmer35;Test35;m;13;50S;00:37.13
;;;;50R;00:43.28
;;;;50B;00:49.31
;;;;50K;00:37.93
;;;;100S;01:05.03
;;;;100R;01:32.01
;;;;100B;01:22.25
;;;;100K;00:57.54
;;;;100Lg;01:33.38
;;;;200S;02:55.70
;;;;200R;03:05.98
;;;;200B;03:40.33
;;;;200K;02:14.18
;;;;200Lg;03:29.61
;;;;400K;05:29.13
;;;;400Lg;05:07.23
;;;;800K;12:11.25
;;;;1500K;18:21.97
Schwimmer36;Test36;m;51;50S;00:34.14
;;;;50R;00:37.13
;;;;50B;00:40.59
;;;;50K;00:26.44
;;;;100S;01:00.00
;;;;100R;01:29.13
;;;;100B;01:22.44
;;;;100K;01:05.57
;;;;100Lg;01:18.80
;;;;200S;03:00.85
;;;;200R;03:08.06
;;;;200B;02:42.97
;;;;200K;02:33.09
;;;;200Lg;02:50.01
;;;;400K;05:04.74
;;;;400Lg;05:58.47
;;;;800K;11:54.18
;;;;1500K;18:48.61
Schwimmer37;Test37;w;14;50S;00:29.10
;;;;50R;00:33.08
;;;;50B;00:34.12
;;;;50K;00:35.20
;;;;100S;01:13.55
;;;;100R;01:20.09
;;;;100B;01:40.62
;;;;100K;01:09.35
;;;;100Lg;01:13.37
;;;;200S;02:53.11
;;;;200R;02:27.68
;;;;200B;02:43.52
;;;;200K;02:58.95
;;;;200Lg;03:13.96
;;;;400K;05:28.14
;;;;400Lg;05:43.34
;;;;800K;13:30.06
;;;;1500K;23:02.57
Schwimmer38;Test38;m;78;50S;00:30.07
;;;;50R;00:36.35
;;;;50B;00:38.14
;;;;50K;00:26.88
;;;;100S;01:23.87
;;;;100R;01:22.63
;;;;100B;01:30.08
;;;;100K;01:24.04
;;;;100Lg;01:09.45
;;;;200S;02:47.24
;;;;200R;03:26.29
;;;;200B;02:47.57
;;;;200K;02:57.47
;;;;200Lg;03:15.04
;;;;400K;04:49.70
;;;;400Lg;05:45.25
;;;;800K;12:31.92
;;;;1500K;21:34.74
Schwimmer39;Test39;w;28;50S;00:33.98
;;;;50R;00:40.27
;;;;50B;00:44.84
;;;;50K;00:37.13
;;;;100S;01:11.55
;;;;100R;01:39.58
;;;;100B;01:37.20
;;;;100K;01:06.69
;;;;100Lg;01:32.69
;;;;200S;02:40.91
;;;;200R;03:07.42
;;;;200B;02:51.48
;;;;200K;02:36.25
;;;;200Lg;03:34.61
;;;;400K;04:30.63
;;;;400Lg;05:10.59
;;;;800K;11:23.81
;;;;1500K;18:39.27
Schwimmer40;Test40;m;94;50S;00:39.03
;;;;50R;00:42.94
;;;;50B;00:35.73
;;;;50K;00:30.74
;;;;100S;01:01.45
;;;;100R;01:34.43
;;;;100B;01:20.35
;;;;100K;00:59.24
;;;;100Lg;01:20.36
;;;;200S;02:18.42
;;;;200R;03:00.58
;;;;200B;03:05.00
;;;;200K;02:22.60
;;;;200Lg;03:09.37
;;;;400K;04:56.07
;;;;400Lg;06:45.74
;;;;800K;11:02.38
;;;;1500K;24:21.45
Schwimmer41;Test41;w;62;50S;00:39.34
;;;;50R;00:41.33
;;;;50B;00:43.53
;;;;50K;00:28.94
;;;;100S;01:27.60
;;;;100R;01:18.65
;;;;100B;01:35.45
;;;;100K;01:20.38
;;;;100Lg;01:22.20
;;;;200S;02:43.47
;;;;200R;02:46.69
;;;;200B;02:35.17
;;;;200K;02:15.35
;;;;200Lg;03:21.37
;;;;400K;04:36.83
;;;;400Lg;05:08.15
;;;;800K;14:37.50
;;;;1500K;22:13.30
Schwimmer42;Test42;m;79;50S;00:33.15
;;;;50R;00:37.86
;;;;50B;00:44.48
;;;;50K;00:33.19
;;;;100S;01:22.58
;;;;100R;01:18.22
;;;;100B;01:25.96
;;;;100K;01:05.45
;;;;100Lg;01:32.53
;;;;200S;03:00.99
;;;;200R;03:16.11
;;;;200B;03:11.86
;;;;200K;02:47.33
;;;;200Lg;03:39.45
;;;;400K;05:42.23
;;;;400Lg;05:52.94
;;;;800K;10:05.31
;;;;1500K;24:50.49
Schwimmer43;Test43;w;64;50S;00:36.72
;;;;50R;00:40.39
;;;;50B;00:49.72
;;;;50K;00:28.07
;;;;100S;01:00.77
;;;;100R;01:32.40
;;;;100B;01:35.83
;;;;100K;00:58.19
;;;;100Lg;01:02.04
;;;;200S;02:10.13
;;;;200R;02:42.83
;;;;200B;03:27.79
;;;;200K;02:32.42
;;;;200Lg;03:23.25
;;;;400K;04:23.51
;;;;400Lg;06:36.99
;;;;800K;10:48.18
;;;;1500K;24:58.03
Schwimmer44;Test44;m;34;50S;00:37.50
;;;;50R;00:33.88
;;;;50B;00:35.12
;;;;50K;00:29.66
;;;;100S;01:20.04
;;;;100R;01:39.66
;;;;100B;01:12.09
;;;;100K;01:11.68
;;;;100Lg;01:07.91
;;;;200S;02:58.29
;;;;200R;03:28.44
;;;;200B;02:52.77
;;;;200K;02:08.06
;;;;200Lg;03:26.55
;;;;400K;05:47.61
;;;;400Lg;05:06.76
;;;;800K;12:19.34
;;;;1500K;21:55.02
Schwimmer45;Test45;w;53;50S;00:33.60
;;;;50R;00:37.99
;;;;50B;00:49.45
;;;;50K;00:34.77
;;;;100S;01:13.03
;;;;100R;01:36.00
;;;;100B;01:14.23
;;;;100K;00:58.61
;;;;100Lg;01:32.65
;;;;200S;02:32.67
;;;;200R;03:09.95
;;;;200B;03:52.53
;;;;200K;02:34.38
;;;;200Lg;02:44.88
;;;;400K;04:33.49
;;;;400Lg;06:46.83
;;;;800K;14:36.86
;;;;1500K;22:09.69
Schwimmer46;Test46;m;33;50S;00:35.22
;;;;50R;00:38.82
;;;;50B;00:39.50
;;;;50K;00:29.70
;;;;100S;01:29.55
;;;;100R;01:31.23
;;;;100B;01:46.07
;;;;100K;00:55.44
;;;;100Lg;01:13.12
;;;;200S;02:41.83
;;;;200R;02:35.04
;;;;200B;03:08.88
;;;;200K;02:29.23
;;;;200Lg;03:14.84
;;;;400K;04:47.17
;;;;400Lg;06:49.74
;;;;800K;13:29.01
;;;;1500K;21:05.08
Schwimmer47;Test47;w;70;50S;00:35.12
;;;;50R;00:35.58
;;;;50B;00:39.67
;;;;50K;00:35.08
;;;;100S;01:08.42
;;;;100R;01:23.05
;;;;100B;01:48.44
;;;;100K;01:03.04
;;;;100Lg;01:18.96
;;;;200S;02:37.96
;;;;200R;03:17.19
;;;;200B;03:06.28
;;;;200K;02:44.30
;;;;200Lg;03:37.90
;;;;400K;05:11.46
;;;;400Lg;05:19.75
;;;;800K;10:35.96
;;;;1500K;24:01.90
Schwimmer48;Test48;m;0;50S;00:30.58
;;;;50R;00:30.72
;;;;50B;00:36.68
;;;;50K;00:27.47
;;;;100S;01:04.35
;;;;100R;01:29.80
;;;;100B;01:37.54
;;;;100K;01:09.78
;;;;100Lg;01:29.09
;;;;200S;02:18.05
;;;;200R;02:27.78
;;;;200B;03:28.93
;;;;200K;02:06.71
;;;;200Lg;03:15.10
;;;;400K;04:24.82
;;;;400Lg;06:16.69
;;;;800K;14:22.66
;;;;1500K;21:10.51
Schwimmer49;Test49;w;80;50S;00:30.15
;;;;50R;00:35.85
;;;;50B;00:43.03
;;;;50K;00:31.08
;;;;100S;01:05.53
;;;;100R;01:27.41
;;;;100B;01:42.26
;;;;100K;01:05.29
;;;;100Lg;01:12.13
;;;;200S;02:43.12
;;;;200R;03:11.39
;;;;200B;03:54.43
;;;;200K;02:32.72
;;;;200Lg;02:46.43
;;;;400K;05:38.97
;;;;400Lg;05:50.49
;;;;800K;13:59.75
;;;;1500K;23:54.74
Schwimmer50;Test50;w;62;50S;00:28.33
;;;;50R;00:43.65
;;;;50B;00:48.69
;;;;50K;00:27.75
;;;;100S;01:29.39
;;;;100R;01:06.36
;;;;100B;01:37.87
;;;;100K;01:01.91
;;;;100Lg;01:02.88
;;;;200S;02:12.20
;;;;200R;03:21.54
;;;;200B;03:56.89
;;;;200K;02:50.87
;;;;200Lg;03:06.43
;;;;400K;05:09.26
;;;;400Lg;05:16.31
;;;;800K;12:15.40
;;;;1500K;19:33.02
Schwimmer51;Test51;w;42;50S;00:33.80
;;;;50R;00:36.33
;;;;50B;00:43.20
;;;;50K;00:35.25
;;;;100S;01:05.05
;;;;100R;01:39.81
;;;;100B;01:44.95
;;;;100K;00:57.66
;;;;100Lg;01:19.19
;;;;200S;03:05.22
;;;;200R;03:01.30
;;;;200B;03:38.74
;;;;200K;02:21.68
;;;;200Lg;02:51.60
;;;;400K;05:58.96
;;;;400Lg;06:09.81
;;;;800K;11:00.66
;;;;1500K;23:59.78
Schwimmer52;Test52;w;47;50S;00:32.93
;;;;50R;00:35.09
;;;;50B;00:39.01
;;;;50K;00:29.71
;;;;100S;01:01.68
;;;;100R;01:16.07
;;;;100B;01:23.08
;;;;100K;01:09.13
;;;;100Lg;01:11.13
;;;;200S;02:49.43
;;;;200R;02:52.69
;;;;200B;02:50.79
;;;;200K;02:39.01
;;;;200Lg;03:30.01
;;;;400K;04:59.41
;;;;400Lg;06:25.10
;;;;800K;10:40.80
;;;;1500K;19:47.62
Schwimmer53;Test53;m;91;50S;00:30.01
;;;;50R;00:32.80
;;;;50B;00:48.99
;;;;50K;00:33.82
;;;;100S;01:17.07
;;;;100R;01:31.65
;;;;100B;01:11.69
;;;;100K;01:24.27
;;;;100Lg;01:33.85
;;;;200S;02:26.28
;;;;200R;03:16.85
;;;;200B;03:42.40
;;;;200K;02:19.21
;;;;200Lg;02:51.84
;;;;400K;05:06.32
;;;;400Lg;05:25.51
;;;;800K;12:24.70
;;;;1500K;18:45.56
Schwimmer54;Test54;w;28;50S;00:36.02
;;;;50R;00:34.88
;;;;50B;00:45.34
;;;;50K;00:27.08
;;;;100S;01:27.79
;;;;100R;01:26.13
;;;;100B;01:25.80
;;;;100K;01:01.61
;;;;100Lg;01:17.90
;;;;200S;02:50.01
;;;;200R;02:50.32
;;;;200B;02:40.55
;;;;200K;02:50.26
;;;;200Lg;02:49.66
;;;;400K;05:10.32
;;;;400Lg;05:06.49
;;;;800K;14:48.53
;;;;1500K;24:45.43
Schwimmer55;Test55;w;11;50S;00:38.20
;;;;50R;00:34.83
;;;;50B;00:34.90
;;;;50K;00:27.92
;;;;100S;01:05.59
;;;;100R;01:16.06
;;;;100B;01:21.36
;;;;100K;00:59.66
;;;;100Lg;01:03.57
;;;;200S;02:21.89
;;;;200R;03:22.16
;;;;200B;03:29.52
;;;;200K;02:45.46
;;;;200Lg;03:02.56
;;;;400K;05:53.46
;;;;400Lg;05:58.35
;;;;800K;14:29.01
;;;;1500K;19:51.38
